restaurant_id,curbside_pickup,delivery,dine_in,live_music,outdoor_seating,reservable,restroom,serves_beer,serves_breakfast,serves_brunch,serves_cocktails,serves_coffee,serves_dessert,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,allows_dogs,good_for_children,good_for_groups,good_for_watching_sports,menu_for_children,free_parking_lot,paid_parking_lot,free_street_parking,paid_street_parking,free_garage_parking,paid_garage_parking,valet_parking,accepts_debit_cards,accepts_credit_cards,accepts_cash_only,accepts_nfc,wheelchair_accessible_restroom,wheelchair_accessible_entrance,wheelchair_accessible_parking,wheelchair_accessible_seating
ChIJ_VWb4xn6mUcRH4NujtHMKJI,,False,True,False,True,,True,,True,,False,True,True,False,,,False,True,,True,True,False,False,True,,True,,,,,,,False,,True,True,True,True
ChIJo5EYOK_4mUcRi4shjNiEDUc,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,,,,,,,,True,,False,True,,True,True,True
ChIJ_VfiMxj6mUcRRK_QBdxww7g,,False,True,False,True,True,True,True,False,False,False,True,True,True,,True,True,True,True,True,True,False,True,True,,True,,,,,False,False,True,False,,True,True,True
ChIJT4FlA7zwmUcRcrmR1JIlwm8,,,True,False,,False,True,False,,False,,True,,True,True,True,,True,,True,True,,False,True,,True,,,,,,,,,,True,True,True
ChIJnVLW97vwmUcRkHx9e10WkyE,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,True,False,True,False,True,True,True,True,,False,,True,True,True,True,,True,True,,True,True,False,True,True,,True,,,,,True,,False,True,,True,True,True
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,True,True,False,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
ChIJ3bJ1WPDxmUcRBC55YV0woIA,False,False,True,False,,True,True,True,False,False,True,True,False,False,False,False,True,True,True,True,True,False,False,,,,,,,,False,False,True,False,False,True,True,True
ChIJyfOQ32r6mUcRlmkEAh1apbs,,,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,,True,,,,,,,True,,,True,True,True
ChIJKTNtZZjwmUcRtKWjb8U2YqI,,False,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,,True,,,,,,,,,,False,,False
ChIJ21ldIJXwmUcRqVJwdqcHroA,,False,True,,,,,,True,,,True,,,,,,True,,,,,,True,,True,,,,,True,,False,True,,True,True,
ChIJy9BCYNr9mUcRKQBU3lnANgo,,True,True,False,True,True,True,True,True,False,False,True,True,,True,True,True,True,True,True,True,False,True,True,,,,,,,False,,True,,True,True,True,True
ChIJeSaF9XD8mUcRDm3he7lkuMA,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,,False,,,True,True,False,,True,True,True,True
ChIJk0bQgJr7mUcR-CKFCw2h2KY,,False,True,False,True,True,True,True,False,False,False,True,True,True,True,,True,True,True,True,True,,True,True,,True,,,,,,,False,,,True,True,True
ChIJN7o495b7mUcRgQbaxkTIkXo,,True,True,False,True,True,True,True,False,False,False,True,True,True,True,False,True,True,True,True,True,False,True,True,,True,,,,,,True,False,,,True,True,True
ChIJBctfifbwmUcRrXoViGlewME,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,,,,,True,True,False,True,True,True,True,True
ChIJU3_pY4T7mUcREub8_JVTsJc,,True,True,False,True,True,True,True,True,False,,True,True,True,True,True,True,True,True,True,True,False,True,True,,True,,,,,True,True,False,True,True,,True,
ChIJIbTkHI37mUcRoDRmzFClAN4,True,True,True,False,,True,True,True,,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,,True,,,,,False,False,True,True,True,True,True,True
