restaurant_id,city_id,name,primary_type,types,business_status,pure_service_area,address,lat_value,long_value
ChIJ_VWb4xn6mUcRH4NujtHMKJI,0,Café Kult Dußlingen,cafe,"['cafe', 'breakfast_restaurant', 'coffee_shop', 'restaurant', 'point_of_interest', 'food_store', 'store', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße 11, 72144 Dußlingen, Germany",48.4527192,9.0574849
ChIJo5EYOK_4mUcRi4shjNiEDUc,0,Boxenstop,bar,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Brunnenwiesen 6, 72144 Dußlingen, Germany",48.452360299999995,9.0623402
ChIJ_VfiMxj6mUcRRK_QBdxww7g,0,Alte Krone,italian_restaurant,"['italian_restaurant', 'liquor_store', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",OPERATIONAL,,"Hindenburgpl. 25, 72144 Dußlingen, Germany",48.452234999999995,9.054786
ChIJT4FlA7zwmUcRcrmR1JIlwm8,0,Nazar Imbiss,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße 12, 72810 Gomaringen, Germany",48.4550226,9.0968865
ChIJnVLW97vwmUcRkHx9e10WkyE,0,Grissini Ristorante Trattoria,italian_restaurant,"['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße 15, 72810 Gomaringen, Germany",48.4549397,9.0963507
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,0,Italienisches Restaurant in Gomaringen Trattoria Da Daniele,italian_restaurant,"['italian_restaurant', 'catering_service', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße 15, 72810 Gomaringen, Germany",48.4549198,9.096332499999999
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,0,La piccola s'Casa Imbiss Pizza,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße, 72810 Gomaringen, Germany",48.4566284,9.0980007
ChIJ3bJ1WPDxmUcRBC55YV0woIA,0,s'Casa,bar,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße 19, 72810 Gomaringen, Germany",48.4557285,9.0969157
ChIJyfOQ32r6mUcRlmkEAh1apbs,0,Gasthaus Schützenhaus / Partyservice Kaltenmark,restaurant,"['restaurant', 'catering_service', 'food_delivery', 'bar', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Beim Törle 50, 72144 Dußlingen, Germany",48.4640991,9.0589199
ChIJKTNtZZjwmUcRtKWjb8U2YqI,0,Wirtshaus Krone,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Kirchenweg 42, 72810 Gomaringen, Germany",48.4611911,9.0904923
ChIJ21ldIJXwmUcRqVJwdqcHroA,0,"Bakery Schmid ""cafe cult""",bakery,"['bakery', 'breakfast_restaurant', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",OPERATIONAL,,"Raiffeisenstraße 1, 72810 Gomaringen, Germany",48.461723199999994,9.104622599999999
ChIJy9BCYNr9mUcRKQBU3lnANgo,0,Café im Dreikönig,cafe,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Kiebinger Str. 43, 72108 Rottenburg am Neckar, Germany",48.4750422,8.9708431
ChIJeSaF9XD8mUcRDm3he7lkuMA,0,Sportgaststätte Kiebingen,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Im Unterdorf 28, 72108 Rottenburg am Neckar, Germany",48.478249399999996,8.9754078
ChIJk0bQgJr7mUcR-CKFCw2h2KY,0,Sportheim Bühl Inh. Gerardo Carbonaro,restaurant,"['restaurant', 'pizza_restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Sengentalstraße 60, 72072 Tübingen, Germany",48.477912800000006,8.9999874
ChIJN7o495b7mUcRgQbaxkTIkXo,0,Schützenhaus Bühl Restaurant Taverne,greek_restaurant,"['greek_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Sengental 1, 72072 Tübingen, Germany",48.4742592,9.0046134
ChIJBctfifbwmUcRrXoViGlewME,0,Sportgaststätte Reinenberg La Corte,italian_restaurant,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Bahnhofstraße 69, 72127 Kusterdingen, Germany",48.475828,9.1179697
ChIJU3_pY4T7mUcREub8_JVTsJc,0,Gasthof 's Gräbele,restaurant,"['restaurant', 'inn', 'hotel', 'lodging', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Römerstraße 8, 72072 Tübingen, Germany",48.482222199999995,8.994444399999999
ChIJIbTkHI37mUcRoDRmzFClAN4,0,Dönerrizza,restaurant,"['restaurant', 'turkish_restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Eugen-Bolz-Straße 44, 72072 Tübingen, Germany",48.4830663,8.9952234
ChIJG3kcYNz7mUcR5ZdgCEXB3-I,0,ON Börek & Bakery (Turkish Bakery),bakery,"['bakery', 'turkish_restaurant', 'catering_service', 'food_delivery', 'food_store', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",OPERATIONAL,,"Eugen-Bolz-Straße 19, 72072 Tübingen, Germany",48.483256499999996,8.9978118
ChIJ9e2hy3X7mUcRAJJ8PtNdcAQ,0,Eddy’s Imbiss,meal_takeaway,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Bahnhofstraße 28, 72072 Tübingen, Germany",48.4894295,9.008041100000002
ChIJhxRbsgv7mUcRMjO-1R7lUtk,0,Gasthaus Hirsch Kilchberg,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Closenweg 4, 72072 Tübingen, Germany",48.4892883,9.0167989
ChIJd8nlXKr7mUcRO6iJzDp3sUQ,0,Schützenhaus Weilheim,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Talstraße 2, 72072 Tübingen, Germany",48.4836257,9.0328602
ChIJZxx-Kln6mUcROzIKQaLPWq4,0,Restaurant Schloss Kressbach,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Kreßbach Hofgut 11, 72072 Tübingen, Germany",48.4814405,9.053992
ChIJEbY0PWfwmUcRX3ULHIUZ0S0,0,Mayer's Waldhorn,restaurant,"['restaurant', 'catering_service', 'hotel', 'food_delivery', 'lodging', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Neckar-Alb-Straße 47, 72127 Kusterdingen, Germany",48.485428999999996,9.1106436
ChIJ4VPJNj3xmUcR74Qh7Q0iz_k,0,Mayer's Sommergarten,bar,"['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",OPERATIONAL,,"Neckar-Alb-Straße 47, 72127 Kusterdingen, Germany",48.485428999999996,9.1106436
ChIJARhATH37mUcRyRmMLZdZkKw,0,Pizzeria -Sportlerstube Hirschau,italian_restaurant,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Schulstraße 28, 72070 Tübingen, Germany",48.498152499999996,8.992523199999999
ChIJnQwYNXf7mUcRQiKytCB8Vn0,0,EAT HAPPY,meal_takeaway,"['sushi_restaurant', 'japanese_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Alte Landstraße 45, 72072 Tübingen, Germany",48.496616499999995,9.029984899999999
ChIJ66taiuz6mUcRFSLyQ1zeZug,0,Sportgaststätte TV Derendingen,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Gartenstadt 1, 72072 Tübingen, Germany",48.4969252,9.0630058
ChIJJefnUwD7mUcRw8RE8WokBsc,0,Biergarten Sudhaus,bar,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Hechinger Str. 203, 72072 Tübingen, Germany",48.5000448,9.0654417
ChIJocMuqXPwmUcR_FQG4_XZKr8,0,Hotel Gasthof Löwen Wankheim,hotel,"['hotel', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Ob. Str. 15, 72127 Kusterdingen, Germany",48.497256900000004,9.1008237
ChIJTR3JWCjxmUcRbt_RBaruRfk,0,Ristorante Pizzeria Milano,italian_restaurant,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Ob. Str. 15, 72127 Kusterdingen, Germany",48.497256900000004,9.1008237
ChIJA_PuHnPwmUcRvwRYy8yGfdg,0,Hofladen Kemmler,bakery,"['bakery', 'breakfast_restaurant', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",OPERATIONAL,,"Hauptstraße 30, 72127 Kusterdingen, Germany",48.4989766,9.1014547
