id,name,types,primaryType,primaryTypeDisplayName,businessStatus,pureServiceAreaBusiness,formattedAddress,location,city
ChIJ_VWb4xn6mUcRH4NujtHMKJI,"{'text': 'Café Kult Dußlingen', 'languageCode': 'de'}","['cafe', 'breakfast_restaurant', 'coffee_shop', 'restaurant', 'point_of_interest', 'food_store', 'store', 'food', 'establishment']",cafe,"{'text': 'Cafe', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 11, 72144 Dußlingen, Germany","{'latitude': 48.4527192, 'longitude': 9.0574849}",Tübingen
ChIJo5EYOK_4mUcRi4shjNiEDUc,"{'text': 'Boxenstop', 'languageCode': 'de'}","['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",bar,"{'text': 'Bar', 'languageCode': 'en'}",OPERATIONAL,,"Brunnenwiesen 6, 72144 Dußlingen, Germany","{'latitude': 48.452360299999995, 'longitude': 9.0623402}",Tübingen
ChIJ_VfiMxj6mUcRRK_QBdxww7g,"{'text': 'Alte Krone', 'languageCode': 'de'}","['italian_restaurant', 'liquor_store', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Hindenburgpl. 25, 72144 Dußlingen, Germany","{'latitude': 48.452234999999995, 'longitude': 9.054786}",Tübingen
ChIJT4FlA7zwmUcRcrmR1JIlwm8,"{'text': 'Nazar Imbiss', 'languageCode': 'de'}","['restaurant', 'point_of_interest', 'food', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 12, 72810 Gomaringen, Germany","{'latitude': 48.4550226, 'longitude': 9.0968865}",Tübingen
ChIJnVLW97vwmUcRkHx9e10WkyE,"{'text': 'Grissini Ristorante Trattoria', 'languageCode': 'de'}","['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 15, 72810 Gomaringen, Germany","{'latitude': 48.4549397, 'longitude': 9.0963507}",Tübingen
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,"{'text': 'Italienisches Restaurant in Gomaringen Trattoria Da Daniele', 'languageCode': 'de'}","['italian_restaurant', 'catering_service', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 15, 72810 Gomaringen, Germany","{'latitude': 48.4549198, 'longitude': 9.096332499999999}",Tübingen
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,"{'text': ""La piccola s'Casa Imbiss Pizza"", 'languageCode': 'de'}","['pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",pizza_restaurant,"{'text': 'Pizza restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße, 72810 Gomaringen, Germany","{'latitude': 48.4566284, 'longitude': 9.0980007}",Tübingen
ChIJ3bJ1WPDxmUcRBC55YV0woIA,"{'text': ""s'Casa"", 'languageCode': 'de'}","['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",bar,"{'text': 'Bar', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 19, 72810 Gomaringen, Germany","{'latitude': 48.4557285, 'longitude': 9.0969157}",Tübingen
ChIJyfOQ32r6mUcRlmkEAh1apbs,"{'text': 'Gasthaus Schützenhaus / Partyservice Kaltenmark', 'languageCode': 'de'}","['restaurant', 'catering_service', 'food_delivery', 'bar', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Beim Törle 50, 72144 Dußlingen, Germany","{'latitude': 48.4640991, 'longitude': 9.0589199}",Tübingen
ChIJKTNtZZjwmUcRtKWjb8U2YqI,"{'text': 'Wirtshaus Krone', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kirchenweg 42, 72810 Gomaringen, Germany","{'latitude': 48.4611911, 'longitude': 9.0904923}",Tübingen
ChIJ21ldIJXwmUcRqVJwdqcHroA,"{'text': 'Bakery Schmid ""cafe cult""', 'languageCode': 'en'}","['bakery', 'breakfast_restaurant', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",bakery,"{'text': 'Bakery', 'languageCode': 'en'}",OPERATIONAL,,"Raiffeisenstraße 1, 72810 Gomaringen, Germany","{'latitude': 48.461723199999994, 'longitude': 9.104622599999999}",Tübingen
ChIJy9BCYNr9mUcRKQBU3lnANgo,"{'text': 'Café im Dreikönig', 'languageCode': 'de'}","['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",cafe,"{'text': 'Cafe', 'languageCode': 'en'}",OPERATIONAL,,"Kiebinger Str. 43, 72108 Rottenburg am Neckar, Germany","{'latitude': 48.4750422, 'longitude': 8.9708431}",Tübingen
ChIJeSaF9XD8mUcRDm3he7lkuMA,"{'text': 'Sportgaststätte Kiebingen', 'languageCode': 'de'}","['restaurant', 'point_of_interest', 'food', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Im Unterdorf 28, 72108 Rottenburg am Neckar, Germany","{'latitude': 48.478249399999996, 'longitude': 8.9754078}",Tübingen
ChIJk0bQgJr7mUcR-CKFCw2h2KY,"{'text': 'Sportheim Bühl Inh. Gerardo Carbonaro', 'languageCode': 'de'}","['restaurant', 'pizza_restaurant', 'italian_restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Sengentalstraße 60, 72072 Tübingen, Germany","{'latitude': 48.477912800000006, 'longitude': 8.9999874}",Tübingen
ChIJN7o495b7mUcRgQbaxkTIkXo,"{'text': 'Schützenhaus Bühl Restaurant Taverne', 'languageCode': 'de'}","['greek_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",greek_restaurant,"{'text': 'Greek restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Sengental 1, 72072 Tübingen, Germany","{'latitude': 48.4742592, 'longitude': 9.0046134}",Tübingen
ChIJBctfifbwmUcRrXoViGlewME,"{'text': 'Sportgaststätte Reinenberg La Corte', 'languageCode': 'en'}","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 69, 72127 Kusterdingen, Germany","{'latitude': 48.475828, 'longitude': 9.1179697}",Tübingen
ChIJU3_pY4T7mUcREub8_JVTsJc,"{'text': ""Gasthof 's Gräbele"", 'languageCode': 'de'}","['restaurant', 'inn', 'hotel', 'lodging', 'point_of_interest', 'food', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Römerstraße 8, 72072 Tübingen, Germany","{'latitude': 48.482222199999995, 'longitude': 8.994444399999999}",Tübingen
ChIJIbTkHI37mUcRoDRmzFClAN4,"{'text': 'Dönerrizza', 'languageCode': 'de'}","['restaurant', 'turkish_restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Eugen-Bolz-Straße 44, 72072 Tübingen, Germany","{'latitude': 48.4830663, 'longitude': 8.9952234}",Tübingen
ChIJG3kcYNz7mUcR5ZdgCEXB3-I,"{'text': 'ON Börek & Bakery (Turkish Bakery)', 'languageCode': 'en'}","['bakery', 'turkish_restaurant', 'catering_service', 'food_delivery', 'food_store', 'event_venue', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",bakery,"{'text': 'Bakery', 'languageCode': 'en'}",OPERATIONAL,,"Eugen-Bolz-Straße 19, 72072 Tübingen, Germany","{'latitude': 48.483256499999996, 'longitude': 8.9978118}",Tübingen
ChIJ9e2hy3X7mUcRAJJ8PtNdcAQ,"{'text': 'Eddy’s Imbiss', 'languageCode': 'de'}","['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",meal_takeaway,"{'text': 'Takeout restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bahnhofstraße 28, 72072 Tübingen, Germany","{'latitude': 48.4894295, 'longitude': 9.008041100000002}",Tübingen
ChIJhxRbsgv7mUcRMjO-1R7lUtk,"{'text': 'Gasthaus Hirsch Kilchberg', 'languageCode': 'de'}","['restaurant', 'point_of_interest', 'food', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Closenweg 4, 72072 Tübingen, Germany","{'latitude': 48.4892883, 'longitude': 9.0167989}",Tübingen
ChIJd8nlXKr7mUcRO6iJzDp3sUQ,"{'text': 'Schützenhaus Weilheim', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Talstraße 2, 72072 Tübingen, Germany","{'latitude': 48.4836257, 'longitude': 9.0328602}",Tübingen
ChIJZxx-Kln6mUcROzIKQaLPWq4,"{'text': 'Restaurant Schloss Kressbach', 'languageCode': 'de'}","['restaurant', 'point_of_interest', 'food', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Kreßbach Hofgut 11, 72072 Tübingen, Germany","{'latitude': 48.4814405, 'longitude': 9.053992}",Tübingen
ChIJEbY0PWfwmUcRX3ULHIUZ0S0,"{'text': ""Mayer's Waldhorn"", 'languageCode': 'en'}","['restaurant', 'catering_service', 'hotel', 'food_delivery', 'lodging', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Neckar-Alb-Straße 47, 72127 Kusterdingen, Germany","{'latitude': 48.485428999999996, 'longitude': 9.1106436}",Tübingen
ChIJ4VPJNj3xmUcR74Qh7Q0iz_k,"{'text': ""Mayer's Sommergarten"", 'languageCode': 'de'}","['restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",bar,"{'text': 'Bar', 'languageCode': 'en'}",OPERATIONAL,,"Neckar-Alb-Straße 47, 72127 Kusterdingen, Germany","{'latitude': 48.485428999999996, 'longitude': 9.1106436}",Tübingen
ChIJARhATH37mUcRyRmMLZdZkKw,"{'text': 'Pizzeria -Sportlerstube Hirschau', 'languageCode': 'de'}","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Schulstraße 28, 72070 Tübingen, Germany","{'latitude': 48.498152499999996, 'longitude': 8.992523199999999}",Tübingen
ChIJnQwYNXf7mUcRQiKytCB8Vn0,"{'text': 'EAT HAPPY', 'languageCode': 'de'}","['sushi_restaurant', 'japanese_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway,"{'text': 'Takeout restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Alte Landstraße 45, 72072 Tübingen, Germany","{'latitude': 48.496616499999995, 'longitude': 9.029984899999999}",Tübingen
ChIJ66taiuz6mUcRFSLyQ1zeZug,"{'text': 'Sportgaststätte TV Derendingen', 'languageCode': 'de'}","['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Gartenstadt 1, 72072 Tübingen, Germany","{'latitude': 48.4969252, 'longitude': 9.0630058}",Tübingen
ChIJJefnUwD7mUcRw8RE8WokBsc,"{'text': 'Biergarten Sudhaus', 'languageCode': 'de'}","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",bar,"{'text': 'Bar', 'languageCode': 'en'}",OPERATIONAL,,"Hechinger Str. 203, 72072 Tübingen, Germany","{'latitude': 48.5000448, 'longitude': 9.0654417}",Tübingen
ChIJocMuqXPwmUcR_FQG4_XZKr8,"{'text': 'Hotel Gasthof Löwen Wankheim', 'languageCode': 'de'}","['hotel', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",hotel,"{'text': 'Hotel', 'languageCode': 'en'}",OPERATIONAL,,"Ob. Str. 15, 72127 Kusterdingen, Germany","{'latitude': 48.497256900000004, 'longitude': 9.1008237}",Tübingen
ChIJTR3JWCjxmUcRbt_RBaruRfk,"{'text': 'Ristorante Pizzeria Milano', 'languageCode': 'de'}","['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Ob. Str. 15, 72127 Kusterdingen, Germany","{'latitude': 48.497256900000004, 'longitude': 9.1008237}",Tübingen
ChIJA_PuHnPwmUcRvwRYy8yGfdg,"{'text': 'Hofladen Kemmler', 'languageCode': 'de'}","['bakery', 'breakfast_restaurant', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",bakery,"{'text': 'Bakery', 'languageCode': 'en'}",OPERATIONAL,,"Hauptstraße 30, 72127 Kusterdingen, Germany","{'latitude': 48.4989766, 'longitude': 9.1014547}",Tübingen
