id,curbsidePickup,delivery,dineIn,liveMusic,parkingOptions,paymentOptions,outdoorSeating,reservable,restroom,servesBeer,servesBreakfast,servesBrunch,servesCocktails,servesCoffee,servesDessert,servesDinner,servesLunch,servesVegetarianFood,servesWine,takeout,accessibilityOptions,allowsDogs,goodForChildren,goodForGroups,goodForWatchingSports,menuForChildren
ChIJo5EYOK_4mUcRi4shjNiEDUc,False,False,True,True,,"{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,True,True,False,False,False,False,True,False,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,False,True,True,False
ChIJ_VfiMxj6mUcRRK_QBdxww7g,,False,True,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': False, 'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",True,True,True,True,False,False,False,True,True,True,,True,True,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJ_VWb4xn6mUcRH4NujtHMKJI,,False,True,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': False},True,,True,,True,,False,True,True,False,,,False,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",,True,True,False,False
ChIJT4FlA7zwmUcRcrmR1JIlwm8,,,True,False,"{'freeParkingLot': True, 'freeStreetParking': True}",,,False,True,False,,False,,True,,True,True,True,,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,,False
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,True,False,True,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,,False,,True,True,True,True,,True,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,False,True
ChIJnVLW97vwmUcRkHx9e10WkyE,,,True,,,,,,,,,,,,,,,,,,,,,,,
ChIJ3bJ1WPDxmUcRBC55YV0woIA,False,False,True,False,,"{'acceptsCreditCards': False, 'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",,True,True,True,False,False,True,True,False,False,False,False,True,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",True,True,True,False,False
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,True,True,False,,,,,,,,,,,,,,,,,True,,,,,,
ChIJyfOQ32r6mUcRlmkEAh1apbs,,,True,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': True},True,True,True,True,False,False,False,True,True,True,True,False,True,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJKTNtZZjwmUcRtKWjb8U2YqI,,False,True,False,"{'freeParkingLot': True, 'freeStreetParking': True}",,True,True,True,True,False,False,False,True,True,True,True,False,True,True,"{'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",True,True,True,False,True
ChIJ21ldIJXwmUcRqVJwdqcHroA,,False,True,,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",,,,,True,,,True,,,,,,True,"{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True}",,,,,
