id,attributions,primaryTypeDisplayName,containingPlaces,internationalPhoneNumber,placesWebsiteUri,editorialSummary,regularOpeningHours,utcOffsetMinutes,priceLevel,priceRange,rating,userRatingCount
ChIJo5EYOK_4mUcRi4shjNiEDUc,,"{'text': 'Bar', 'languageCode': 'en'}",,+49 172 2533383,,,,60,PRICE_LEVEL_INEXPENSIVE,,4.7,64.0
ChIJ_VfiMxj6mUcRRK_QBdxww7g,,"{'text': 'Italian restaurant', 'languageCode': 'en'}",,+49 7072 80718,http://www.altekrone.de/,,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 11, 'minute': 30}, 'close': {'day': 0, 'hour': 14, 'minute': 0}}, {'open': {'day': 0, 'hour': 17, 'minute': 0}, 'close': {'day': 0, 'hour': 20, 'minute': 30}}, {'open': {'day': 3, 'hour': 17, 'minute': 30}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 17, 'minute': 30}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 30}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 17, 'minute': 30}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:30\u2009–\u200910:00\u202fPM', 'Thursday: 5:30\u2009–\u200910:00\u202fPM', 'Friday: 5:30\u2009–\u200910:00\u202fPM', 'Saturday: 5:30\u2009–\u200910:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM'], 'nextOpenTime': '2024-12-18T16:30:00Z'}",60,PRICE_LEVEL_MODERATE,,4.7,350.0
ChIJ_VWb4xn6mUcRH4NujtHMKJI,,"{'text': 'Cafe', 'languageCode': 'en'}",,+49 7072 9234660,https://meisterbaecker-schmid.de/fachgeschaefte/,,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 7, 'minute': 45}, 'close': {'day': 0, 'hour': 18, 'minute': 0}}, {'open': {'day': 1, 'hour': 5, 'minute': 30}, 'close': {'day': 1, 'hour': 18, 'minute': 30}}, {'open': {'day': 2, 'hour': 5, 'minute': 30}, 'close': {'day': 2, 'hour': 18, 'minute': 30}}, {'open': {'day': 3, 'hour': 5, 'minute': 30}, 'close': {'day': 3, 'hour': 18, 'minute': 30}}, {'open': {'day': 4, 'hour': 5, 'minute': 30}, 'close': {'day': 4, 'hour': 18, 'minute': 30}}, {'open': {'day': 5, 'hour': 5, 'minute': 30}, 'close': {'day': 5, 'hour': 18, 'minute': 30}}, {'open': {'day': 6, 'hour': 5, 'minute': 30}, 'close': {'day': 6, 'hour': 16, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 5:30\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 5:30\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 5:30\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 5:30\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 5:30\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 5:30\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: 7:45\u202fAM\u2009–\u20096:00\u202fPM'], 'nextCloseTime': '2024-12-18T17:30:00Z'}",60,PRICE_LEVEL_INEXPENSIVE,"{'startPrice': {'currencyCode': 'EUR', 'units': '1'}, 'endPrice': {'currencyCode': 'EUR', 'units': '10'}}",4.2,156.0
ChIJT4FlA7zwmUcRcrmR1JIlwm8,,"{'text': 'Restaurant', 'languageCode': 'en'}",,+49 7072 1278983,,,"{'openNow': True, 'periods': [{'open': {'day': 0, 'hour': 11, 'minute': 0}, 'close': {'day': 0, 'hour': 21, 'minute': 0}}, {'open': {'day': 1, 'hour': 11, 'minute': 0}, 'close': {'day': 1, 'hour': 21, 'minute': 0}}, {'open': {'day': 2, 'hour': 11, 'minute': 0}, 'close': {'day': 2, 'hour': 21, 'minute': 0}}, {'open': {'day': 3, 'hour': 11, 'minute': 0}, 'close': {'day': 3, 'hour': 21, 'minute': 0}}, {'open': {'day': 4, 'hour': 11, 'minute': 0}, 'close': {'day': 4, 'hour': 21, 'minute': 0}}, {'open': {'day': 5, 'hour': 11, 'minute': 0}, 'close': {'day': 5, 'hour': 21, 'minute': 0}}, {'open': {'day': 6, 'hour': 11, 'minute': 0}, 'close': {'day': 6, 'hour': 21, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20099:00\u202fPM'], 'nextCloseTime': '2024-12-18T20:00:00Z'}",60,PRICE_LEVEL_MODERATE,"{'startPrice': {'currencyCode': 'EUR', 'units': '1'}, 'endPrice': {'currencyCode': 'EUR', 'units': '10'}}",4.6,224.0
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,,"{'text': 'Italian restaurant', 'languageCode': 'en'}",,+49 7072 1329561,,,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 11, 'minute': 30}, 'close': {'day': 0, 'hour': 21, 'minute': 0}}, {'open': {'day': 2, 'hour': 11, 'minute': 30}, 'close': {'day': 2, 'hour': 14, 'minute': 0}}, {'open': {'day': 2, 'hour': 17, 'minute': 30}, 'close': {'day': 2, 'hour': 23, 'minute': 0}}, {'open': {'day': 3, 'hour': 11, 'minute': 30}, 'close': {'day': 3, 'hour': 14, 'minute': 0}}, {'open': {'day': 3, 'hour': 17, 'minute': 0}, 'close': {'day': 3, 'hour': 23, 'minute': 0}}, {'open': {'day': 4, 'hour': 11, 'minute': 30}, 'close': {'day': 4, 'hour': 14, 'minute': 0}}, {'open': {'day': 4, 'hour': 17, 'minute': 30}, 'close': {'day': 4, 'hour': 23, 'minute': 0}}, {'open': {'day': 5, 'hour': 11, 'minute': 30}, 'close': {'day': 5, 'hour': 14, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 30}, 'close': {'day': 5, 'hour': 23, 'minute': 0}}, {'open': {'day': 6, 'hour': 17, 'minute': 30}, 'close': {'day': 6, 'hour': 23, 'minute': 0}}], 'weekdayDescriptions': ['Monday: Closed', 'Tuesday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:00\u2009–\u200911:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20092:00\u202fPM, 5:30\u2009–\u200911:00\u202fPM', 'Saturday: 5:30\u2009–\u200911:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20099:00\u202fPM'], 'nextOpenTime': '2024-12-18T10:30:00Z'}",60,,"{'startPrice': {'currencyCode': 'EUR', 'units': '20'}, 'endPrice': {'currencyCode': 'EUR', 'units': '30'}}",4.5,162.0
ChIJnVLW97vwmUcRkHx9e10WkyE,,"{'text': 'Italian restaurant', 'languageCode': 'en'}",,+49 7072 80227,,,,60,,,,
ChIJ3bJ1WPDxmUcRBC55YV0woIA,,"{'text': 'Bar', 'languageCode': 'en'}",,+49 15566 568547,,,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 21, 'minute': 0}}, {'open': {'day': 1, 'hour': 16, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 16, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 16, 'minute': 0}, 'close': {'day': 5, 'hour': 0, 'minute': 0}}, {'open': {'day': 5, 'hour': 16, 'minute': 0}, 'close': {'day': 6, 'hour': 0, 'minute': 0}}, {'open': {'day': 6, 'hour': 16, 'minute': 0}, 'close': {'day': 0, 'hour': 0, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 4:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: 4:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 4:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 4:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 4:00\u2009–\u20099:00\u202fPM'], 'nextOpenTime': '2024-12-18T15:00:00Z'}",60,,,5.0,3.0
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,,"{'text': 'Pizza restaurant', 'languageCode': 'en'}",,+49 7072 8962403,https://s-casa-lapiccola.com/,,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 17, 'minute': 0}, 'close': {'day': 0, 'hour': 21, 'minute': 0}}, {'open': {'day': 1, 'hour': 17, 'minute': 0}, 'close': {'day': 1, 'hour': 21, 'minute': 0}}, {'open': {'day': 3, 'hour': 17, 'minute': 0}, 'close': {'day': 3, 'hour': 21, 'minute': 0}}, {'open': {'day': 4, 'hour': 17, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 17, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 5:00\u2009–\u20099:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 5:00\u2009–\u20099:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 5:00\u2009–\u20099:00\u202fPM'], 'nextOpenTime': '2024-12-18T16:00:00Z'}",60,,"{'startPrice': {'currencyCode': 'EUR', 'units': '10'}, 'endPrice': {'currencyCode': 'EUR', 'units': '20'}}",3.7,3.0
ChIJyfOQ32r6mUcRlmkEAh1apbs,,"{'text': 'Restaurant', 'languageCode': 'en'}","[{'name': 'places/ChIJ4RvV7Rb6mUcROk-pdpSJr84', 'id': 'ChIJ4RvV7Rb6mUcROk-pdpSJr84'}]",+49 7072 8740,https://www.schuetzenhaus-dusslingen.de/,,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 10, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 30}}, {'open': {'day': 3, 'hour': 15, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 30}}, {'open': {'day': 5, 'hour': 15, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 30}}, {'open': {'day': 6, 'hour': 15, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 30}}], 'weekdayDescriptions': ['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 3:00\u2009–\u200910:30\u202fPM', 'Thursday: Closed', 'Friday: 3:00\u2009–\u200910:30\u202fPM', 'Saturday: 3:00\u2009–\u200910:30\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:30\u202fPM'], 'nextOpenTime': '2024-12-18T14:00:00Z'}",60,PRICE_LEVEL_MODERATE,"{'startPrice': {'currencyCode': 'EUR', 'units': '20'}, 'endPrice': {'currencyCode': 'EUR', 'units': '30'}}",4.6,127.0
ChIJKTNtZZjwmUcRtKWjb8U2YqI,,"{'text': 'Restaurant', 'languageCode': 'en'}",,+49 7072 2468,,,"{'openNow': False, 'periods': [{'open': {'day': 0, 'hour': 17, 'minute': 0}, 'close': {'day': 0, 'hour': 22, 'minute': 0}}, {'open': {'day': 1, 'hour': 17, 'minute': 0}, 'close': {'day': 1, 'hour': 22, 'minute': 0}}, {'open': {'day': 3, 'hour': 17, 'minute': 0}, 'close': {'day': 3, 'hour': 22, 'minute': 0}}, {'open': {'day': 4, 'hour': 17, 'minute': 0}, 'close': {'day': 4, 'hour': 22, 'minute': 0}}, {'open': {'day': 5, 'hour': 17, 'minute': 0}, 'close': {'day': 5, 'hour': 22, 'minute': 0}}, {'open': {'day': 6, 'hour': 17, 'minute': 0}, 'close': {'day': 6, 'hour': 22, 'minute': 0}}], 'weekdayDescriptions': ['Monday: 5:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 5:00\u2009–\u200910:00\u202fPM', 'Thursday: 5:00\u2009–\u200910:00\u202fPM', 'Friday: 5:00\u2009–\u200910:00\u202fPM', 'Saturday: 5:00\u2009–\u200910:00\u202fPM', 'Sunday: 5:00\u2009–\u200910:00\u202fPM'], 'nextOpenTime': '2024-12-18T16:00:00Z'}",60,PRICE_LEVEL_MODERATE,"{'startPrice': {'currencyCode': 'EUR', 'units': '10'}, 'endPrice': {'currencyCode': 'EUR', 'units': '20'}}",4.7,185.0
