id,name,curbsidePickup,delivery,dineIn,evChargeOptions,fuelOptions,liveMusic,parkingOptions,paymentOptions,outdoorSeating,reservable,restroom,servesBeer,servesBreakfast,servesBrunch,servesCocktails,servesCoffee,servesDessert,servesDinner,servesLunch,servesVegetarianFood,servesWine,takeout
ChIJ_VWb4xn6mUcRH4NujtHMKJI,"{'text': 'Café Kult Dußlingen', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': False},True,,True,,True,,False,True,True,False,,,False,True
ChIJo5EYOK_4mUcRi4shjNiEDUc,"{'text': 'Boxenstop', 'languageCode': 'de'}",False,False,True,,,True,,"{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,True,True,False,False,False,False,True,False
ChIJ_VfiMxj6mUcRRK_QBdxww7g,"{'text': 'Alte Krone', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': False, 'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",True,True,True,True,False,False,False,True,True,True,,True,True,True
ChIJT4FlA7zwmUcRcrmR1JIlwm8,"{'text': 'Nazar Imbiss', 'languageCode': 'de'}",,,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",,,False,True,False,,False,,True,,True,True,True,,True
ChIJ3bJ1WPDxmUcRBC55YV0woIA,"{'text': ""s'Casa"", 'languageCode': 'de'}",False,False,True,,,False,,"{'acceptsCreditCards': False, 'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",,True,True,True,False,False,True,True,False,False,False,False,True,True
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,"{'text': ""La piccola s'Casa Imbiss Pizza"", 'languageCode': 'de'}",True,True,False,,,,,,,,,,,,,,,,,,,True
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,"{'text': 'Trattoria Da Daniele - Italienisches Restaurant in Gomaringen', 'languageCode': 'de'}",True,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,,False,,True,True,True,True,,True,True
ChIJyfOQ32r6mUcRlmkEAh1apbs,"{'text': 'Gasthaus Schützenhaus / Partyservice Kaltenmark', 'languageCode': 'de'}",,,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': True},True,True,True,True,False,False,False,True,True,True,True,False,True,True
ChIJKTNtZZjwmUcRtKWjb8U2YqI,"{'text': 'Wirtshaus Krone', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",,True,True,True,True,False,False,False,True,True,True,True,False,True,True
ChIJ21ldIJXwmUcRqVJwdqcHroA,"{'text': 'Bakery Schmid ""cafe cult""', 'languageCode': 'en'}",,False,True,,,,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",,,,,True,,,True,,,,,,True
ChIJy9BCYNr9mUcRKQBU3lnANgo,"{'text': 'Café im Dreikönig', 'languageCode': 'de'}",,True,True,,,False,{'freeParkingLot': True},"{'acceptsDebitCards': False, 'acceptsCashOnly': True}",True,True,True,True,True,False,False,True,True,,True,True,True,True
ChIJeSaF9XD8mUcRDm3he7lkuMA,"{'text': 'Sportgaststätte Kiebingen', 'languageCode': 'de'}",True,False,True,,,True,"{'freeParkingLot': True, 'freeStreetParking': True, 'freeGarageParking': False}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJk0bQgJr7mUcR-CKFCw2h2KY,"{'text': 'Sportheim Bühl Inh. Gerardo Carbonaro', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': False},True,True,True,True,False,False,False,True,True,True,True,,True,True
ChIJN7o495b7mUcRgQbaxkTIkXo,"{'text': 'Schützenhaus Bühl Restaurant Taverne', 'languageCode': 'de'}",,True,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,True,True,True,False,False,False,True,True,True,True,False,True,True
ChIJBctfifbwmUcRrXoViGlewME,"{'text': 'Sportgaststätte Reinenberg La Corte', 'languageCode': 'en'}",True,False,True,,,True,"{'freeParkingLot': True, 'freeStreetParking': False}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJU3_pY4T7mUcREub8_JVTsJc,"{'text': ""Gasthof 's Gräbele"", 'languageCode': 'de'}",,True,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,True,False,,True,True,True,True,True,True,True
ChIJIbTkHI37mUcRoDRmzFClAN4,"{'text': 'Dönerrizza', 'languageCode': 'de'}",True,True,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': False, 'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': True}",,True,True,True,,False,False,True,True,True,True,True,True,True
ChIJG3kcYNz7mUcR5ZdgCEXB3-I,"{'text': 'ON Börek & Bakery (Turkish Bakery)', 'languageCode': 'en'}",,False,True,,,,"{'freeParkingLot': True, 'paidParkingLot': False, 'freeStreetParking': False, 'paidStreetParking': False, 'freeGarageParking': True, 'paidGarageParking': False}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",,,,,True,,,True,,,,,,True
ChIJ9e2hy3X7mUcRAJJ8PtNdcAQ,"{'text': 'Eddy’s Imbiss', 'languageCode': 'de'}",,False,True,,,False,{'freeParkingLot': True},"{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,False,True,,,False,,True,False,True,True,False,,True
ChIJhxRbsgv7mUcRMjO-1R7lUtk,"{'text': 'Gasthaus Hirsch Kilchberg', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",,True,True,True,False,False,,True,True,True,True,,True,True
ChIJd8nlXKr7mUcRO6iJzDp3sUQ,"{'text': 'Schützenhaus Weilheim', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,,,True,True,True,True,False,True,True
ChIJZxx-Kln6mUcROzIKQaLPWq4,"{'text': 'Restaurant Schloss Kressbach', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsCashOnly': False}",True,True,True,True,,,True,True,True,True,True,,True,
ChIJ4VPJNj3xmUcR74Qh7Q0iz_k,"{'text': ""Mayer's Sommergarten"", 'languageCode': 'de'}",,False,True,,,,{'freeParkingLot': True},,True,,True,True,,,,True,,,,,True,
ChIJEbY0PWfwmUcRX3ULHIUZ0S0,"{'text': ""Mayer's Waldhorn"", 'languageCode': 'en'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,True,,True,True,True,True,True,True,True,True
ChIJARhATH37mUcRyRmMLZdZkKw,"{'text': 'Pizzeria -Sportlerstube Hirschau', 'languageCode': 'de'}",,,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': True},True,True,True,True,False,False,,True,True,True,,False,True,True
ChIJnQwYNXf7mUcRQiKytCB8Vn0,"{'text': 'EAT HAPPY', 'languageCode': 'de'}",,,,,,,,,,,,,,,,,,,,,,
ChIJ66taiuz6mUcRFSLyQ1zeZug,"{'text': 'Sportgaststätte TV Derendingen', 'languageCode': 'de'}",,True,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,,True,True,True,True,False,True,True
ChIJJefnUwD7mUcRw8RE8WokBsc,"{'text': 'Biergarten Sudhaus', 'languageCode': 'de'}",,,True,,,,,,True,,True,True,,,,,,,,,,
ChIJocMuqXPwmUcR_FQG4_XZKr8,"{'text': 'Hotel Gasthof Löwen Wankheim', 'languageCode': 'de'}",,,,,,,,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",,,,,,,,,,,,,,
ChIJTR3JWCjxmUcRbt_RBaruRfk,"{'text': 'Ristorante Pizzeria Milano', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,,False,,True,True,True,True,True,True,True
ChIJA_PuHnPwmUcRvwRYy8yGfdg,"{'text': 'Hofladen Kemmler', 'languageCode': 'de'}",,False,True,,,,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': False},,,,,True,,,True,,,,,,True
ChIJA_PuHnPwmUcRjsZYfTvJ-ZQ,"{'text': 'Landgut Kemmler', 'languageCode': 'de'}",,,,,,,,{'acceptsCashOnly': False},,,,,,,,,,,,,,
ChIJ408GZzjwmUcRiwbNgTXYfMc,"{'text': 'Gasthof Kompf', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJY4I8Je38mUcR-0CAwesMdWk,"{'text': ""Gasthof Hotel Rössle & Gerry's Steakhouse"", 'languageCode': 'de'}",,False,,,,,,"{'acceptsCreditCards': True, 'acceptsCashOnly': False}",,,,,,,,,,,,,,
ChIJR_Kkbuv8mUcRIxl8cm8Sjig,"{'text': 'Besenwirtschaft Sieß', 'languageCode': 'de'}",,False,True,,,False,,,,,True,False,,False,False,True,,True,,,True,
ChIJQS69Gk_7mUcRKNZFcYeFOnI,"{'text': 'Ayla Pizza&Kebap', 'languageCode': 'de'}",True,True,True,,,False,{'freeParkingLot': True},"{'acceptsCreditCards': False, 'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",True,,True,,,,,,,True,True,,,True
