id,name,accessibilityOptions,allowsDogs,goodForChildren,goodForGroups,goodForWatchingSports,menuForChildren
ChIJ_VWb4xn6mUcRH4NujtHMKJI,"{'text': 'Café Kult Dußlingen', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",,True,True,False,False
ChIJo5EYOK_4mUcRi4shjNiEDUc,"{'text': 'Boxenstop', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,False,True,True,False
ChIJ_VfiMxj6mUcRRK_QBdxww7g,"{'text': 'Alte Krone', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJT4FlA7zwmUcRcrmR1JIlwm8,"{'text': 'Nazar Imbiss', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,,False
ChIJ3bJ1WPDxmUcRBC55YV0woIA,"{'text': ""s'Casa"", 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",True,True,True,False,False
ChIJ3xCcNgDxmUcRtLLUkaG5wY8,"{'text': ""La piccola s'Casa Imbiss Pizza"", 'languageCode': 'de'}",,,,,,
ChIJ5dhz-EXxmUcRuZTn4wsBpQs,"{'text': 'Trattoria Da Daniele - Italienisches Restaurant in Gomaringen', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,False,True
ChIJyfOQ32r6mUcRlmkEAh1apbs,"{'text': 'Gasthaus Schützenhaus / Partyservice Kaltenmark', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJKTNtZZjwmUcRtKWjb8U2YqI,"{'text': 'Wirtshaus Krone', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",True,True,True,False,True
ChIJ21ldIJXwmUcRqVJwdqcHroA,"{'text': 'Bakery Schmid ""cafe cult""', 'languageCode': 'en'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True}",,,,,
ChIJy9BCYNr9mUcRKQBU3lnANgo,"{'text': 'Café im Dreikönig', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJeSaF9XD8mUcRDm3he7lkuMA,"{'text': 'Sportgaststätte Kiebingen', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,True,True
ChIJk0bQgJr7mUcR-CKFCw2h2KY,"{'text': 'Sportheim Bühl Inh. Gerardo Carbonaro', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,,True
