,review_year,restaurant_id,stars_mean,stars_count,dining_stars_service_mean,dining_stars_service_count,dining_stars_food_mean,dining_stars_food_count,dining_stars_atmosphere_mean,dining_stars_atmosphere_count
0,2014,ChIJ8dHXli3lmUcRbSsbGrUNotc,4.0,1,,0,,0,,0
1,2014,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.0,1,,0,,0,,0
2,2015,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.0,1,,0,,0,,0
3,2015,ChIJm7waYdT6mUcRxPFyE982gE0,5.0,1,,0,,0,,0
4,2016,ChIJYR6MeNP6mUcRX0PfqXYXqks,5.0,1,,0,,0,,0
5,2016,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.0,1,,0,,0,,0
6,2016,ChIJm7waYdT6mUcRxPFyE982gE0,5.0,2,,0,,0,,0
7,2017,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.6666666666666665,15,,0,,0,,0
8,2017,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.5,2,,0,,0,,0
9,2017,ChIJbxg5UNT6mUcRY_RPFW_mgjg,2.5,2,,0,,0,,0
10,2017,ChIJm7waYdT6mUcRxPFyE982gE0,4.285714285714286,7,,0,,0,,0
11,2018,ChIJ5bNxBdP6mUcRoihNgmDzZl4,5.0,6,,0,,0,,0
12,2018,ChIJ8dHXli3lmUcRbSsbGrUNotc,4.05,20,,0,,0,,0
13,2018,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.222222222222222,9,,0,,0,,0
14,2018,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.384615384615385,13,,0,,0,,0
15,2018,ChIJm7waYdT6mUcRxPFyE982gE0,4.565217391304348,23,,0,,0,,0
16,2019,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.884615384615385,26,,0,,0,,0
17,2019,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.975609756097561,41,,0,,0,,0
18,2019,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.894736842105263,19,,0,,0,,0
19,2019,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.45,20,,0,,0,,0
20,2019,ChIJm7waYdT6mUcRxPFyE982gE0,4.588235294117647,34,,0,,0,,0
21,2020,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.514285714285714,35,,0,,0,,0
22,2020,ChIJ8dHXli3lmUcRbSsbGrUNotc,4.266666666666667,45,,0,,0,,0
23,2020,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.829268292682927,41,,0,,0,,0
24,2020,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.4324324324324325,37,,0,,0,,0
25,2020,ChIJm7waYdT6mUcRxPFyE982gE0,4.463414634146342,41,,0,,0,,0
26,2021,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.870967741935484,31,,0,,0,,0
27,2021,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.923076923076923,26,,0,,0,,0
28,2021,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.75,24,,0,,0,,0
29,2021,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.157894736842105,19,,0,,0,,0
30,2021,ChIJm7waYdT6mUcRxPFyE982gE0,4.642857142857143,28,,0,,0,,0
31,2022,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.586206896551724,29,,0,,0,,0
32,2022,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.68,25,,0,,0,,0
33,2022,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.916666666666667,36,,0,,0,,0
34,2022,ChIJbxg5UNT6mUcRY_RPFW_mgjg,3.870967741935484,31,,0,,0,,0
35,2022,ChIJm7waYdT6mUcRxPFyE982gE0,4.545454545454546,22,,0,,0,,0
36,2023,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.536231884057971,69,4.666666666666667,15,4.733333333333333,15,4.4,15
37,2023,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.918032786885246,61,3.8181818181818175,11,4.3,10,3.8181818181818175,11
38,2023,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.830508474576271,59,4.714285714285714,14,4.714285714285714,14,3.7142857142857135,14
39,2023,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.083333333333333,48,4.444444444444445,9,4.0,9,3.888888888888889,9
40,2023,ChIJm7waYdT6mUcRxPFyE982gE0,4.041666666666667,72,4.5,10,4.7,10,4.8,10
41,2024,ChIJ5bNxBdP6mUcRoihNgmDzZl4,4.7073170731707314,164,4.748031496062992,127,4.837209302325581,129,4.590551181102362,127
42,2024,ChIJ8dHXli3lmUcRbSsbGrUNotc,3.6825396825396814,126,3.90625,96,3.945054945054945,91,4.0,94
43,2024,ChIJYR6MeNP6mUcRX0PfqXYXqks,4.720238095238095,168,4.526315789473684,114,4.793103448275862,116,4.070796460176991,113
44,2024,ChIJbxg5UNT6mUcRY_RPFW_mgjg,4.393617021276596,188,4.611464968152866,157,4.506410256410256,156,4.503184713375796,157
45,2024,ChIJm7waYdT6mUcRxPFyE982gE0,4.27906976744186,129,4.55,100,4.39,100,4.48,100
46,2025,ChIJm7waYdT6mUcRxPFyE982gE0,1.0,1,1.0,1,1.0,1,2.0,1
