dining_price_range,restaurant_id_x,dining_price_range_count
10–20 €,ChIJ5bNxBdP6mUcRoihNgmDzZl4,25
10–20 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,33
10–20 €,ChIJYR6MeNP6mUcRX0PfqXYXqks,3
10–20 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,28
10–20 €,ChIJm7waYdT6mUcRxPFyE982gE0,44
1–10 €,ChIJ5bNxBdP6mUcRoihNgmDzZl4,59
1–10 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,4
1–10 €,ChIJYR6MeNP6mUcRX0PfqXYXqks,59
1–10 €,ChIJm7waYdT6mUcRxPFyE982gE0,10
20–30 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,12
20–30 €,ChIJYR6MeNP6mUcRX0PfqXYXqks,1
20–30 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,51
20–30 €,ChIJm7waYdT6mUcRxPFyE982gE0,5
30–40 €,ChIJ8dHXli3lmUcRbSsbGrUNotc,3
30–40 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,14
30–40 €,ChIJm7waYdT6mUcRxPFyE982gE0,1
40–50 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,2
50–60 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,2
70–80 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,1
80–90 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,1
90–100 €,ChIJbxg5UNT6mUcRY_RPFW_mgjg,1
