,review_id,restaurant_id,author,review_date,scraping_date,stars,language,review_text
18906,23377,ChIJm7waYdT6mUcRxPFyE982gE0,J Mo,vor einem Monat,2025-01-06,4.0,de,"Im Veggi in Tübingen haben wir einen gemütlichen Nachmittag verbracht. Der Service ist freundlich, in den abgelegenen Ecken wird man gelegentlich übersehen. Getränke und Speisen waren lecker. Abgesehen vom pinken Christbaum (Statement hin oder her, der war schreiend hässlich) war das Ambiente ansprechend."
18907,23378,ChIJm7waYdT6mUcRxPFyE982gE0,Mr. T.,vor einer Woche,2025-01-06,5.0,de,"War dort heute zum ersten Mal essen, da meine Freunde Vegetarier sind. Wir waren zu dritt und haben trotz vollem Restaurant noch einen Platz bekommen. Der Service war sehr aufmerksam, zuvorkommend und war sehr flink. Das Essen hat nicht nur mich sondern auch meine Freunde begeistert. Mein Vegetarisches Tatar war köstlich, ich würde es immer einem klassischem Tatar vorziehen. Das Vegetarische Hühnchengeschnetzelte mit Humus war ein Traum, denn die Kombination des Hühnchen mit dem Humus war klasse. Was mich als langjährigen Gastronom fast vom Hocker gehauen hat war die Optik der Teller, die Art und Weise die Liebe und Hingabe für Vegetarisches Essen auf den Teller zu bringen war umwerfend. Das die Oliven ohne Kerne waren, hat mich total begeistert, denn so konnte ich als Gast mich mit dem Genuss der Speisen beschäftigen anstatt nach einer Stelle für die Olivenkerne zu suchen. Liebe Menschen die ihr das hier lest, kommt her und besucht dieses Restaurant, das klasse Team und das super leckere Essen. Hier stimmt das Preis - Leistungsverhältnis, denn Hungrig geht man hier nicht raus. Ich komme wieder wenn ich mal wieder in der Nähe bin. Danke für alles liebes Veggie - Team, ihr macht das klasse"
18908,23379,ChIJm7waYdT6mUcRxPFyE982gE0,Nelly chan,vor 5 Monaten,2025-01-06,5.0,de,"Übersichtliche Speisekarte und somit einfach köstlich! Mein Brot im Falafel Teller war etwas trocken, ließ sich aber durch die köstlichen Saucen gut überdecken. Und das Pitabrot meines Freundes war nicht so trocken, daher alles halb so wild.
Auch die Drinks waren lecker und der Service wirklich nett. 😊 Sehr gerne wieder."
18909,23380,ChIJm7waYdT6mUcRxPFyE982gE0,Heike Röttgermann,vor 6 Monaten,2025-01-06,5.0,de,Veggie in Tübingen 100 % Empfehlung. Hier ist es absolut gemütlich chillig. Es gibt vegane Falafel zu fairen Preisen. Die Saucen schmecken unglaublich lecker. Ich genieße immer besonders das Club Mate dazu. Service ist ebenfalls sehr nett super Bedienung. Tübingen ohne Veggie geht nicht.
18910,23381,ChIJm7waYdT6mUcRxPFyE982gE0,H8 Br3ed,vor 2 Jahren,2025-01-06,5.0,de,"Der Laden wurde uns empfohlen und wir wurden nicht enttäuscht.
Gemütlich eingerichtet, das Essen schmeckt sehr gut und die Bedienung war sehr nett.
Was will man mehr?
Wenn wir mal wieder in Tübingen sind, schauen wir sicher nochmal vorbei.
Daumen hoch, die Preise sind angemessen.
Gerne wieder."
18911,23555,ChIJm7waYdT6mUcRxPFyE982gE0,J S,vor 2 Jahren,2025-01-06,4.0,de,Sehr gemütlich und lecker.
18912,23382,ChIJm7waYdT6mUcRxPFyE982gE0,B. Wertung,vor einer Woche,2025-01-06,2.0,de,"Veggie leider nur noch ein trüber Schatten des ehemaligen Vegi... 🤐😶‍🌫️🫥 Achtung: Die Mehrzahl der Bewertungen beziehen sich auf das Vorgängerlokal VEGI und nicht auf das neue Restaurant VEGGIE. 👀‼️ Wer nicht genau darauf achtet, der merkt auf den ersten Blick nicht, dass es einen Inhaber- und einen minimalen Namenswechsel gegeben hat... ⬅️ Die Karte wurde leider ""lieblos"" d.h. in Form eines A4-Zettels in Schnellhefterfolie zum Großteil übernommen. 🙄 Was man bestellt (Details z.B. bei Getränken bezüglich Allergien, wird einfach mal verschwiegen) bleibt z.T. ein Rätsel, sollte man die Vorgängerkarte nicht kennen. Die Vorfreude war groß, genauso wie die Enttäuschung über das Servierte. 🫣 Was einem aufgetischt wird ist eine lahme Limonade, ein wenig leckerer Auberginendip und Portiönchen die einen mit einem Hungergefühl zurücklassen. 😒😬 Dafür ist der Preis gestiegen. 💶💶 Das Besteck war leider auch nicht einwandfrei sauber. 🍴😶 Falls ihr euch auf den ""Humus  des Tages"" gefreut habt.-vergesst es. Der ist mit dem ehemaligen Laden in die ewigen Jagdgründe geschickt worden. 😪😢😭 Traurig, Traurig."
18913,23383,ChIJm7waYdT6mUcRxPFyE982gE0,Jessica S,vor einem Jahr,2025-01-06,4.0,de,"Wollte dieses Restaurant schon lange mal ausprobieren und nun hatte es mittags, unter der Woche endlich geklappt. Es war kaum was los, also kamen wir direkt dran.

Die Auswahl an Essen ist gering, da man sich auf Falafel spezialisiert hat. Die Wahl fiel dann bei uns auf einen gemischten Salat, hausgemachte Pommes und einen Falafelteller.

Der Salat hatte ein veganes Dressing, das sehr lecker war und auch die Präsentation war sehr ansprechend. Allerdings hätte es ruhig etwas mehr Dressing sein können, da es doch eine ordentliche Portion Salat war.

Die hausgemachten Pommes sind wirklich absolut top! Allein für diese würde ich wieder hier herkommen. Allerdings hasse ich es, wenn für Ketchup oder Mayo extra Geld verlangt wird. Für mich gehört eine Soße nach Wahl einfach dazu und das extra abzurechnen hinterlässt bei mir immer einen faden Beigeschmack. Rechnet die Kosten doch einfach direkt in den Preis mit ein, denn ich kann mir ehrlich gesagt nicht vorstellen, dass es so viele Menschen gibt, die trockene Pommes essen, sodass sich das rausrechnen lohnt.

Die Falafel waren leider auch eher durchschnittlich, was schade ist, da sie ja das Hauptgeschäft sind. Es fehlte einfach Aroma durch z.B. frische Petersilie und sie waren auch etwas trocken. Das bekommt die Konkurrenz in Tübingen leider besser hin. Schön war aber, dass es so viel Auswahl an Soßen gibt und man sich 3 Stück aussuchen darf. Diese waren auch lecker. Der zugehörige Salat war hingegen wieder etwas wenig, wenn man den Beilagensalat direkt daneben stehen sieht.

Die hausgemachte Sommer-Limo mit Maracuja war ebenfalls sehr lecker.

Der Service war sehr nett und aufmerksam. Besonders hat mir gefallen, dass extra gefragt wurde, ob die Teller abgeräumt werden dürfen. Das passiert leider nicht so häufig.

Alles in allem ein solides Falafel-Restaurant mit überragenden Pommes. Kann man sich mal gönnen. :)"
18914,23384,ChIJm7waYdT6mUcRxPFyE982gE0,Mag,vor 5 Monaten,2025-01-06,5.0,de,Leckere Falafel mit super guten Dips! Schöne kuschelige Atmosphäre! Auf jeden Fall einen Besuch wert. Preise sind fair
18915,23385,ChIJm7waYdT6mUcRxPFyE982gE0,Norbert Tokos,vor einem Jahr,2025-01-06,2.0,de,"Die Suppe war leider viel zu dick für unseren Geschmack und hatte eher die Konsistenz einer Soße. Die Beilage (Pommes) kam lauwarm und als erstes, danach die Suppe, danach das Eigentliche, die Falafel. Was für eine unglückliche Reihenfolge. Die Falafel waren sehr fest frittiert. Wirklich gut geschmeckt haben uns am Ende nur die Dips."
