,review_id,restaurant_id,author,dining_mode,dining_meal_type,dining_price_range,dining_stars_food,dining_stars_service,dining_stars_atmosphere,dining_dish_recommend,dining_kid_friendliness,dining_recommend_for_vegetarians,dining_dish_recommend_veggie,dining_veggie_tips,dining_parking_space_availability,dining_parking_options,dining_parking_tips,dining_accessibility_tips
18906,23377,ChIJm7waYdT6mUcRxPFyE982gE0,J Mo,,,,5.0,4.0,4.0,,,,,,,,,
18907,23378,ChIJm7waYdT6mUcRxPFyE982gE0,Mr. T.,Verzehr im Restaurant,Abendessen,10–20 €,5.0,5.0,5.0,"Gemischter Salat Und Pommes Frites, Hummus Des","Kinderstühle vorhanden, ein Wickeltisch ist in der Damentoillette",Sehr empfehlenswert,Ausschließlich vegetarische Speisekarte,Auch für Veganer geeignete Küche,,,,"Ebenerdiger Eingang, am besten vorab Reservieren, bin mir sicher das Team macht alles möglich"
18908,23379,ChIJm7waYdT6mUcRxPFyE982gE0,Nelly chan,Verzehr im Restaurant,Abendessen,10–20 €,4.0,5.0,5.0,,,Sehr empfehlenswert,Ausschließlich vegetarische Speisekarte,Auch viele vegane Optionen verfügbar.,,,,
18909,23380,ChIJm7waYdT6mUcRxPFyE982gE0,Heike Röttgermann,Verzehr im Restaurant,Abendessen,10–20 €,5.0,5.0,5.0,"Falafel Teller Und Pommes Frittes, Falafel Im Fladenbrot, Erdnusssoße",,Sehr empfehlenswert,Ausschließlich vegetarische Speisekarte,,,,,
18910,23381,ChIJm7waYdT6mUcRxPFyE982gE0,H8 Br3ed,,,,,,,,,,,,,,,
18911,23382,ChIJm7waYdT6mUcRxPFyE982gE0,B. Wertung,,,,1.0,3.0,2.0,,,,,,,,,
18912,23383,ChIJm7waYdT6mUcRxPFyE982gE0,Jessica S,Verzehr im Restaurant,Mittagessen,20–30 €,4.0,5.0,4.0,,,Sehr empfehlenswert,Ausschließlich vegetarische Speisekarte,"Falafel, Salat, Pommes, Kuchen, Curry-Bowl",,,,
18913,23384,ChIJm7waYdT6mUcRxPFyE982gE0,Mag,,,,5.0,5.0,5.0,,,,,,,,,
18914,23385,ChIJm7waYdT6mUcRxPFyE982gE0,Norbert Tokos,,,,2.0,4.0,2.0,,,,,,,,,
18915,23386,ChIJm7waYdT6mUcRxPFyE982gE0,Peachy Bee,,,,,,,,,,,,,,,
18916,23387,ChIJm7waYdT6mUcRxPFyE982gE0,Philipp M,Verzehr im Restaurant,Mittagessen,10–20 €,5.0,5.0,4.0,"Falafel Teller Und Pommes Frittes, Falafel Aubergine",,,,,,,,
18917,23388,ChIJm7waYdT6mUcRxPFyE982gE0,Heino Falcke,Verzehr im Restaurant,Abendessen,10–20 €,4.0,3.0,3.0,,,,,,,,,
18918,23389,ChIJm7waYdT6mUcRxPFyE982gE0,Celina Eisele,,,,,,,,,,,,,,,
18919,23390,ChIJm7waYdT6mUcRxPFyE982gE0,H T,Verzehr im Restaurant,Mittagessen,10–20 €,,,,Falafel Teller Und Pommes Frittes,,Sehr empfehlenswert,"Ausschließlich vegetarische Speisekarte, Große Auswahl an vegetarischen Gerichten, Vegetarische Speisekarte/Speisenauswahl, Als vegetarisch ausgewiesene Gerichte",,,,,
18920,23391,ChIJm7waYdT6mUcRxPFyE982gE0,Maria,,Abendessen,1–10 €,4.0,5.0,5.0,"Falafel Teller Und Pommes Frittes, Falafel Im Fladenbrot, Linsensuppe, Vegane Pommes Mit Mayo, Erdnusssoße",,,,,,,,
18921,23392,ChIJm7waYdT6mUcRxPFyE982gE0,Yvonne Schubert,,,,,,,,,,,,,,,
18922,23393,ChIJm7waYdT6mUcRxPFyE982gE0,BenInJam,Verzehr im Restaurant,Abendessen,10–20 €,5.0,5.0,5.0,,,,,,,,,
18923,23394,ChIJm7waYdT6mUcRxPFyE982gE0,Ikbenhet Echt,,,,2.0,3.0,4.0,,,,,,,,,
18924,23395,ChIJm7waYdT6mUcRxPFyE982gE0,Jimi422,Verzehr im Restaurant,Abendessen,10–20 €,1.0,5.0,5.0,,,,,,,,,
18925,23396,ChIJm7waYdT6mUcRxPFyE982gE0,Michael Bahrke,,,,,,,,,,,,,,,
18926,23397,ChIJm7waYdT6mUcRxPFyE982gE0,L L,Verzehr im Restaurant,Abendessen,10–20 €,4.0,5.0,5.0,"Falafel Teller Und Pommes Frittes, Erdnusssoße",,,,,,,,
18927,23398,ChIJm7waYdT6mUcRxPFyE982gE0,Philipp,,,,,,,,,,,,,,,
18928,23399,ChIJm7waYdT6mUcRxPFyE982gE0,L. A.,Verzehr im Restaurant,Mittagessen,,,,,"Falafel Teller Und Pommes Frittes, Falafel Im Fladenbrot",,,,,,,,
18929,23400,ChIJm7waYdT6mUcRxPFyE982gE0,D. K.,,,,,,,,,,,,,,,
18930,23401,ChIJm7waYdT6mUcRxPFyE982gE0,Andreas Gorbach,,,,,,,,,,,,,,,
18931,23402,ChIJm7waYdT6mUcRxPFyE982gE0,Sophie L.,,,,,,,,,,,,,,,
